@relation nasa
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5}

@data

'build 5 3  unitialized variables',3
'build 5 3 fsw  typecast mismatch in memory deallocation',3
'build 5 3 fsw  parameter type mismatch',3
'build 5 3 fsw  unchecked return status',3
'build 5 3 fsw  typecast mismatch in memory deallocation',3
'uninitialized variable  status  in acnavigate c',3
'l3-sfs-925 no traceability links from l4',3
'l3-sfs-919 incomplete traceability links from l4',3
'l3-sfs-1028 no traceability links from l4',3
'l3-sfs-904 and l3-sfs-974 no traceability links from l4',3
'l3-sfs-887 incomplete traceability to the l4 requirements',3
'l3-sfs-2725 and l3-sfs-886 incomplete traceability to l4 requirements',3
'l2-prd-712 inconsistent with l3-sfs-1985',3
'build 5 1 obc code  symbol  tbl_ptr  and  sm_cond_commit_crc  not initialized',3
'build 5 1 obc code  loss of sign in assigning an integer to an unsigned long',3
'obc build 5 1 code  unusual pointer cast',3
'obc build 5 1 code  unusual pointer cast',3
'obc build 5 1 code  unusual pointer cast',3
'upl build 5 1 code   words_per_monitor  macro usage inconsistent with description',3
'obc build 5 1 code  possible data overrun for function  memcpy ',3
'obc build 5 1 code  variable  vm_10hz_frame_delayâ tested against out-of-range value',3
'obc build 5 1 code  function  check_to_report_tag  missing return value',3
'build 5 1 1 obc code  version conflict of eepromimage bld referenced by build 5 1 smd',4
'build 5 1 obc code  possible use of null pointer',4
'requirement xb007 is not verified by script xb_write_test scr ',3
'requirement xb006 is not verified by script xb_select_bus_test scr ',3
'hss1 requirements s1002 and s1003 are not linked to the assigned test script',3
'build 5 1 obc code  symbol not referenced',4
'uplink hlp requirements should be verified by test rather than analysis as specified in doors db',2
'build 5 1 obc code  confusing combination of operators  possible algorithm implementation error',5
'uplink build 5 1 code  unusual pointer cast',3
'uplink build 5 1 code  unusual pointer cast',3
'uplink build 5 1 code  too few initializers for table',4
'uplink build 5 1 code  unusual pointer cast',3
'uplink build 5 1 code  unusual pointer cast',3
'uplink build 5 1 code  unusual pointer cast',3
'uplink build 5 1 code  switch statement has no default case',3
'uplink build 5 1 code  switch statement has no default case',3
'uplink build 5 1 code  unusual pointer cast',3
'uplink build 5 1 code  redundant macros',4
'uplink build 5 1 code  possible out-of-bounds pointer',2
'obc build 5 1 code  converting enumeration to integer',4
'obc build 5 1 code  unusual pointer cast',3
'build 5 1 obc code  variable  putgtinr  may not have been initialized',2
'obc build 5 1 code  unusual pointer cast',3
'obc build 5 1 code  structure redeclared differently',4
'obc build 5 1 code  switch statement has no default case',3
'obc build 5 1 code  possible loss of information at initialization',3
'obc build 5 1 code  redundant macros',4
'obc build 5 1 code  switch statement has no default case',3
'obc build 5 1 code  variable may not have been initialized',4
'obc build 5 1 code  functions are empty',4
'obc build 5 1 code  variable may not have been initialized',4
'six vm requirements linked to test procedure s912-tp4971 cannot be verified by iv v',3
'seven vm requirements linked to b5 0 and b5 1 scripts are not verified',3
'build 5 1 obc code  enum constant  ac_mode_  targetattsteering  not used within defaulted switch - case  5',2
'build 5 1 obc code  enum constant  ac_mode_  targetattsteering  not used within defaulted switch - case  4',2
'the hs_test scr  test  3 obc health status message   does not verify the linked hs requirements',3
'the hs_test scr  test  1  basic hs functions   does not fully verify the linked obc healt   safety  hs  requirements',3
'inconsistent definition of health   safety testing in procedure s912-tp4920  rev-d  as-run',4
'build 5 1 upl code  array  tlmbuffer  possibly out-of-bounds',4
'build 5 1 upl code  suspiciously placed     in sm_main c',3
