@relation nasa
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5}

@data

'if-condition always evaluates to false  file command_reload c  line 94  inst4 analysis 1',3
'array out-of-bounds error in file pack_led c  on lines 91  99 and 191  inst4 analysis 1',2
'array out-of-bounds error in file pack_ega_hop c  lines 86  94 and 104  inst4 analysis 1',2
'array out-of-bounds error in file command_memdump c  function command_memory_dump  on lines 141  158 and 160  inst4 analysis 1',2
'assignment of 32 bit register value to 8 bit variable  file led_reading c  line 83  inst4 analysis 1',3
'condition always evaluates true  file ega_start c  line 68  inst4 analysis 1',3
'reuse of symbol name as function and variable  file eeprom_en_dis c  line 73  88  inst4 analysis 1',5
'use of incorrect telemetry id  nav2 c  line 167  build 6 21',3
'function returns improper error value  payload fsw tests return value improperly  file eps c  function eps_comp_pwr_callback    payload files inst8_fsw c  inst6_fsw c  build 6 1',3
'function returns improper error value  payload fsw tests return value improperly  file eps c  function eps_comp_msg_q   and payload files inst8_fsw c  inst6_fsw c  build 6 1',3
'incorrect calculation of schedule data  improper range checking  file eps_schedule c  line 171  eps_task c  line 155  build 6 1',3
'potential exception error by memcpy    file vm_operand c  function vm_operand_copy_deep    line 193  build 6 1',3
'potential access of null address  file vm_engine c  line 562  563  build 6 1',4
'global variable declared external but without definition  file ra_col_pub h  line 332',5
'access of a null pointer in data assignment  file ra_queues c  line 728  1340  build 6 01',3
'access of a null pointer by memcpy    file ra_parameters c  line 1118  build 6 01',3
'vm_instruction_get_operand   could return with null and generate an exception  file vm_parser c  line 1358  5378  build 6 01',4
'function increment_data_index   could return null and generate an exception  file vm_engine c  line 1770  build 6 01',4
'function create_entry   could return null and generate exception  file telemetry_parser c  line 960  build 6 01',3
'fastpartgetpartid may return as null and generate exception  file  heap c  line 1395  1518  build 6 01',3
'array accessed out of bounds  file eps2 mod eps_pdc_sw c  line 1829  build 6 01',3
'switch variable is compared to binary logic values  file eps_emic_relay c  line 2358  build 6 01',5
'unparenthesized formula for data writing to heap  file ra mod ra_monitor c  line 786  build 6 01',4
'possible use of unassigned variables  file evr mod evr c  lines 658  659  826  842  build 6 01',4
'redefinition of a vxworks pre-processor symbol  file chkdsk mod dosfschklib c  line 245  build 6 01',3
'mismatched types in a switch  file eps2 mod eps_cmd_handler c  line 570  640  build 6 01',3
'comparison of different enumerator types  file eps_ccu c  line 4313  build 6 01',4
'incorrectly implemented formula  file eps2 mod eps_ccu c  line 368  431  build 6 01',4
'potential for divide by zero  file edl_nav c  line 933  build 6 01',2
'out of bounds error  file fpc mod floating_point c  line 149  274  build 6 01',2
'variable use results in underflow in inst8 build 5 4 fsw  inst8_paci c ',3
'missing type-cast in inst6 build 5 4 fsw  inst6_image c  may cause loss of data ',3
'variable assignment results in underflow in inst6 build 5 4 fsw  inst6_fsw c ',3
'uninitialized variable in inst6 build 5 4 fsw  inst6_image c ',3
'uninitialized variables in inst6 build 5 4 fsw  inst6_move c ',3
'uninitialized variable in inst7 build 5 4 fsw  inst7 c ',3
'uninitialized variable in inst9 build 5 4 fsw  ra_monitor c ',3
'lost of fraction portion in inst6 build 5 4 fsw   inst6_move c ',3
'lost of fraction portion in inst8 build 5 4 fsw  inst8_image c ',3
'negative array subscript in inst9 build 5 4 fsw  ra_col c ',3
'unused local variable in inst7 build 5 4 fsw  inst7 c ',4
'unreachable code in inst6 build 5 4 fsw  inst6_image c ',3
'unreachable code in inst8 build 5 4 fsw  inst8_cmd c ',3
'unreachable code in inst6a build 5 4 fsw  magi_image c ',3
