@relation nasa
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5}

@data

'lack of verification of requirement fsw sn 25 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 24 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 21 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 16 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 15 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 14 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 13 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 12 in the pulse train firing thruster mode',3
'lack of verification of requirement fsw sn 10 in the pulse train firing thruster mode',3
'test_hsk_2 does not have an executing test script',3
'fsw sci-19 not tested',3
'fsw fit-3 not tested',3
'fsw fit-2 not tested',3
'fsw exec-18 not tested',3
'test_cmd_4 bps represented as bps',5
'lack of verification of iruâs y-axis angular rate aspect of fsw ac 14 in the continuous firing and pulse train firing thruster modes',3
'lack of verification of iruâs x-axis angular rate aspect of fsw ac 14 in the continuous firing and pulse train firing thruster modes',3
'lack of verification of fsw ac 11 in the pulse train firing thruster mode',3
'fsw lm 06  proc only partially tests requirement',4
'fsw lm 08  proc only partially verifies requirement',3
'fsw lm 09  no  operator inspection  detail is identified',3
'fsw ds 05 02  proc does not verify requirement',3
'fsw ds 05 01  proc does not verify requirement',3
'fsw sc 02  proc uses aperiodic counters for a clock',3
'fsw sc 03  proc only partially verifies requirement',3
'fsw sc 05  proc only partially verifies requirement',3
'fsw sc 06  proc only partially verifies requirement',3
'fsw sc 07  proc only partially verifies requirement',3
'fsw sc 10  requirement is not verifiable as written  needs an interval definition of  concurrent  ',3
'fsw sc 10  proc does not verify requirement',3
'fsw sc 18  insufficient verification detail provided',3
'fsw sc 20  proc only partially verifies requirement',3
'fsw ds 02  proc does not test requirement',4
'fsw ds 01 02  proc does not specifically and explicitly assign virtual recorder',3
'fsw ds 01 01  proc does not specifically and explicitly assign virtual recorder',3
'fsw ds 11  proc filename is ambiguous',3
'fsw ds 13  proc does not verify requirement',3
'fsw ds 13  operator inspection is inadequate to verify requirement',3
'fsw ds 18  operator inspection is inadequate to verify requirement',3
'fsw sc 24  proc only partially tests requirement',3
'fsw sc 25  proc does not verify requirement',3
'fsw ds 19  proc does not verify requirement',3
'fsw ds 19  source inspection is inadequate to verify requirement',3
'fsw sc 27  proc filename is ambiguous',3
'fsw sc 28  proc filename is ambiguous',3
